Team1,Team2,Time,Points1,Points2,ServeEff1,ServeEff2,PosPercent1,PosPercent2,KillPercent1,KillPercent2,EffPercent1,EffPercent2,Score1,Score2
PGE Skra Bełchatów,Cerrad Enea Czarni Radom,"23.11.2022, 16:15",54,34,8%,-20%,46%,42%,59%,45%,46%,26%,3,0
GKS Katowice,Cerrad Enea Czarni Radom,"19.10.2022, 17:30",45,53,-12%,-7%,40%,37%,45%,50%,25%,34%,0,3
PGE Skra Bełchatów,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"26.11.2022, 14:45",73,72,-4%,-9%,36%,51%,56%,48%,40%,33%,2,3
Jastrzębski Węgiel,Cuprum Lubin,"26.11.2022, 17:30",55,63,-18%,-20%,46%,50%,50%,54%,26%,38%,1,3
Indykpol AZS Olsztyn,Ślepsk Malow Suwałki,"28.11.2022, 17:30",84,73,-16%,-11%,55%,43%,54%,57%,44%,50%,2,3
LUK  Lublin,Barkom Każany Lwów,"26.11.2022, 20:30",71,82,0%,-16%,37%,39%,42%,44%,25%,28%,3,2
Aluron CMC Warta Zawiercie,Projekt Warszawa,"27.11.2022, 14:45",49,51,2%,-28%,56%,39%,57%,61%,40%,48%,3,0
BBTS Bielsko-Biała,Asseco Resovia Rzeszów,"27.11.2022, 17:30",38,51,-19%,-8%,40%,52%,36%,54%,25%,42%,0,3
PSG Stal Nysa,Trefl Gdańsk,"25.11.2022, 20:30",60,70,-4%,-3%,39%,35%,44%,63%,28%,48%,1,3
Trefl Gdańsk,GKS Katowice,"05.12.2022, 17:30",76,60,-12%,-3%,49%,36%,54%,47%,41%,33%,3,1
Asseco Resovia Rzeszów,PSG Stal Nysa,"01.12.2022, 17:30",53,40,0%,-23%,35%,26%,54%,42%,45%,25%,3,0
Projekt Warszawa,BBTS Bielsko-Biała,"02.12.2022, 20:30",61,32,-1%,-5%,52%,45%,64%,35%,54%,17%,3,0
Barkom Każany Lwów,Aluron CMC Warta Zawiercie,"04.12.2022, 17:30",46,48,-13%,-9%,42%,43%,45%,51%,34%,39%,0,3
Ślepsk Malow Suwałki,LUK  Lublin,"03.12.2022, 17:30",73,86,0%,0%,49%,41%,47%,53%,33%,39%,2,3
Indykpol AZS Olsztyn,Cuprum Lubin,"03.12.2022, 20:30",48,43,-13%,-20%,52%,54%,52%,46%,38%,22%,3,0
PGE Skra Bełchatów,Jastrzębski Węgiel,"03.12.2022, 14:45",79,78,-5%,-1%,31%,49%,50%,50%,34%,29%,3,2
Grupa Azoty ZAKSA Kędzierzyn-Koźle,Cerrad Enea Czarni Radom,"04.12.2022, 14:45",76,80,-11%,-10%,33%,35%,53%,46%,41%,29%,3,2
GKS Katowice,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"08.12.2022, 16:15",62,73,-15%,-6%,45%,51%,46%,50%,27%,42%,1,3
Jastrzębski Węgiel,Cerrad Enea Czarni Radom,"06.12.2022, 21:00",55,41,-2%,-16%,46%,33%,54%,41%,34%,22%,3,0
Indykpol AZS Olsztyn,PGE Skra Bełchatów,"07.12.2022, 16:15",74,55,-13%,-14%,54%,46%,48%,37%,34%,21%,3,1
LUK  Lublin,Cuprum Lubin,"07.12.2022, 18:30",51,49,1%,-13%,38%,43%,50%,51%,36%,30%,3,0
Aluron CMC Warta Zawiercie,Ślepsk Malow Suwałki,"06.12.2022, 18:30",46,32,1%,-29%,51%,40%,54%,42%,45%,19%,3,0
BBTS Bielsko-Biała,Barkom Każany Lwów,"07.12.2022, 21:00",47,62,-10%,-3%,28%,45%,43%,60%,26%,51%,0,3
PSG Stal Nysa,Projekt Warszawa,"06.12.2022, 16:15",59,67,-9%,-8%,42%,40%,52%,59%,30%,48%,1,3
Trefl Gdańsk,Asseco Resovia Rzeszów,"08.12.2022, 18:30",74,74,-11%,-12%,51%,34%,42%,50%,26%,32%,2,3
Asseco Resovia Rzeszów,GKS Katowice,"12.12.2022, 17:30",58,42,-12%,-9%,39%,35%,64%,55%,56%,36%,3,0
Projekt Warszawa,Trefl Gdańsk,"11.12.2022, 17:30",61,48,1%,-10%,49%,50%,51%,45%,45%,32%,3,0
Barkom Każany Lwów,PSG Stal Nysa,"13.12.2022, 20:30",47,58,-17%,-10%,41%,38%,39%,43%,14%,26%,1,3
Ślepsk Malow Suwałki,BBTS Bielsko-Biała,"12.12.2022, 20:30",46,37,-9%,-19%,57%,40%,40%,32%,25%,3%,3,0
Cuprum Lubin,Aluron CMC Warta Zawiercie,"10.12.2022, 17:30",69,72,-13%,-6%,53%,50%,42%,51%,23%,33%,1,3
PGE Skra Bełchatów,LUK  Lublin,"10.12.2022, 14:45",50,43,4%,-16%,40%,37%,55%,46%,40%,21%,3,0
Cerrad Enea Czarni Radom,Indykpol AZS Olsztyn,"10.12.2022, 20:30",47,51,-18%,4%,38%,52%,43%,52%,28%,43%,0,3
Jastrzębski Węgiel,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"11.12.2022, 14:45",75,75,-14%,-14%,52%,40%,43%,49%,28%,34%,2,3
GKS Katowice,Jastrzębski Węgiel,"17.12.2022, 20:30",43,49,-27%,-2%,58%,62%,56%,54%,36%,42%,0,3
Grupa Azoty ZAKSA Kędzierzyn-Koźle,Indykpol AZS Olsztyn,"17.12.2022, 17:30",68,81,0%,-7%,38%,45%,46%,47%,32%,34%,2,3
Cerrad Enea Czarni Radom,LUK  Lublin,"16.12.2022, 20:30",76,77,-9%,-2%,53%,48%,41%,45%,29%,35%,2,3
PGE Skra Bełchatów,Aluron CMC Warta Zawiercie,"17.12.2022, 14:45",79,82,-9%,-10%,39%,48%,51%,49%,35%,33%,2,3
Cuprum Lubin,BBTS Bielsko-Biała,"15.12.2022, 17:30",69,60,-1%,-3%,38%,39%,54%,41%,44%,24%,3,1
Ślepsk Malow Suwałki,PSG Stal Nysa,"16.12.2022, 17:30",40,57,-12%,-9%,47%,52%,44%,51%,29%,41%,0,3
Barkom Każany Lwów,Trefl Gdańsk,"18.12.2022, 20:30",72,80,0%,-4%,34%,48%,47%,54%,35%,44%,2,3
Projekt Warszawa,Asseco Resovia Rzeszów,"18.12.2022, 13:00",34,59,0%,2%,47%,47%,32%,63%,12%,53%,0,3
Projekt Warszawa,GKS Katowice,"21.12.2022, 21:00",56,33,-12%,-5%,50%,55%,55%,33%,43%,10%,3,0
Asseco Resovia Rzeszów,Barkom Każany Lwów,"23.12.2022, 17:30",75,57,-4%,-10%,45%,30%,58%,44%,49%,28%,3,1
Trefl Gdańsk,Ślepsk Malow Suwałki,"22.12.2022, 18:30",79,76,-2%,-17%,55%,31%,53%,51%,42%,40%,3,2
PSG Stal Nysa,Cuprum Lubin,"21.12.2022, 18:30",53,45,-2%,-9%,46%,31%,60%,52%,53%,32%,3,0
BBTS Bielsko-Biała,PGE Skra Bełchatów,"22.12.2022, 16:15",80,75,-6%,-3%,47%,42%,45%,50%,25%,35%,2,3
Aluron CMC Warta Zawiercie,Cerrad Enea Czarni Radom,"20.12.2022, 17:30",56,43,-10%,-3%,47%,46%,64%,49%,54%,30%,3,0
LUK  Lublin,Grupa Azoty ZAKSA Kędzierzyn-Koźle,"20.12.2022, 20:30",82,95,-6%,-10%,42%,46%,48%,50%,32%,36%,3,2
Indykpol AZS Olsztyn,Jastrzębski Węgiel,"21.12.2022, 16:15",75,65,-3%,-6%,42%,41%,53%,53%,42%,34%,3,1
GKS Katowice,Indykpol AZS Olsztyn,"17.01.2023, 20:30",64,83,-7%,-5%,44%,48%,47%,53%,33%,40%,1,3
Jastrzębski Węgiel,LUK  Lublin,"29.12.2022, 16:15",87,82,-10%,-2%,45%,47%,50%,58%,34%,43%,2,3
Grupa Azoty ZAKSA Kędzierzyn-Koźle,Aluron CMC Warta Zawiercie,"30.12.2022, 17:30",67,68,-3%,1%,48%,55%,50%,45%,33%,24%,3,1
Cerrad Enea Czarni Radom,BBTS Bielsko-Biała,"28.12.2022, 17:30",76,75,-6%,-2%,54%,27%,46%,46%,30%,32%,2,3
PGE Skra Bełchatów,PSG Stal Nysa,"30.12.2022, 20:30",72,75,-2%,-6%,44%,39%,48%,50%,30%,36%,2,3
Cuprum Lubin,Trefl Gdańsk,"08.03.2023, 17:30",68,77,-15%,-15%,43%,39%,51%,62%,34%,43%,2,3
Ślepsk Malow Suwałki,Asseco Resovia Rzeszów,"03.01.2023, 17:30",65,78,1%,-11%,53%,45%,48%,63%,34%,52%,1,3
